Manufacturer,Model&Make,Mark
Sony,Xperia 1 III Wide-angle Camera,III
Sony,Xperia 1 IV Ultrawide Camera,IV
Sony,Xperia 1 IV Wide Camera,IV
Sony,Xperia 1 IV Zoom Camera,IV
Sony,Xperia 1 Wide-angle Camera,NA
Sony,Xperia 5 II Telephoto Camera,II
Sony,Xperia 5 II Ultra wide-angle Camera,II
Sony,Xperia 5 II Wide-angle Camera,II
Sony,Xperia 5 III Super Telephoto Camera,III
Sony,Xperia 5 III Telephoto Camera,III
Sony,Xperia 5 III Ultra wide-angle Camera,III
Sony,Xperia 5 III Wide-angle Camera,III
Sony,Xperia 5 IV Telephoto Camera,IV
Sony,Xperia 5 IV Ultrawide Camera,IV
Sony,Xperia 5 IV Wide Camera,IV
Sony,Xperia 5 Wide-angle Camera,NA
Sony,Xperia PRO-I Telephoto Camera,NA
Sony,Xperia PRO-I Ultrawide Camera,NA
Sony,Xperia PRO-I Wide Camera,NA
Sony,ZV-E10,NA
Xiaomi,12S Pro Rear Telephoto Camera,NA
Xiaomi,12S Pro Rear Ultrawide Camera,NA
Xiaomi,12S Pro Rear Wide Camera,NA
Xiaomi,12S Rear Ultrawide Camera,NA
Xiaomi,12S Rear Wide Camera,NA
Xiaomi,12S Ultra Rear Telephoto Camera,NA
Xiaomi,12S Ultra Rear Ultrawide Camera,NA
Xiaomi,12S Ultra Rear Wide Camera,NA
Xiaomi,13 Pro Rear Telephoto Camera,NA
Xiaomi,13 Pro Rear Ultrawide Camera,NA
Xiaomi,13 Pro Rear Wide Camera,NA
Xiaomi,13 Rear Telephoto Camera,NA
Xiaomi,13 Rear Ultrawide Camera,NA
Xiaomi,13 Rear Wide Camera,NA
Xiaomi,Mi 11 Lite Front Camera,NA
Xiaomi,Mi 11 Lite Rear Ultrawide Camera,NA
Xiaomi,Mi 11 Lite Rear Wide Camera,NA
YUNEEC,ION L1 Pro,NA
ZEISS,ZX1,NA
Apple,iPad13.1 back camera,NA
Apple,iPad13.10 back camera,NA
Apple,iPad13.11 back camera,NA
Apple,iPad13.16 back camera,NA
Apple,iPad13.18 back camera,NA
Apple,iPad13.4 back camera,NA
Apple,iPad13.5 back camera,NA
Apple,iPad13.6 back camera,NA
Apple,iPad13.7 back camera,NA
Apple,iPad13.8 back camera,NA
Apple,iPad13.9 back camera,NA
Apple,iPad14.2 back camera,NA
Apple,iPad14.3 back camera,NA
Apple,iPad14.5 back camera,NA
Apple,iPad6.3 back camera,NA
Apple,iPad6.4 back camera,NA
Apple,iPad7.1 back camera,NA
Apple,iPad7.2 back camera,NA
Apple,iPad7.3 back camera,NA
Apple,iPad7.4 back camera,NA
Apple,iPad8.1 back camera,NA
Apple,iPad8.11 back camera,NA
Apple,iPad8.2 back camera,NA
Apple,iPad8.3 back camera,NA
Apple,iPad8.4 back camera,NA
Apple,iPad8.5 back camera,NA
Apple,iPad8.6 back camera,NA
Apple,iPad8.7 back camera,NA
Apple,iPad8.8 back camera,NA
Apple,iPad8.9 back camera,NA
Apple,iPhone10.1 back camera,NA
Apple,iPhone10.2 back camera,NA
Apple,iPhone10.2 back telephoto camera,NA
Apple,iPhone10.3 back camera,NA
Apple,iPhone10.3 back telephoto camera,NA
Apple,iPhone10.4 back camera,NA
Apple,iPhone10.5 back camera,NA
Apple,iPhone10.5 back telephoto camera,NA
Apple,iPhone10.6 back camera,NA
Apple,iPhone10.6 back telephoto camera,NA
Apple,iPhone11.2 back camera,NA
Apple,iPhone11.2 back telephoto camera,NA
Apple,iPhone11.4 back camera,NA
Apple,iPhone11.4 back telephoto camera,NA
Apple,iPhone11.6 back camera,NA
Apple,iPhone11.6 back telephoto camera,NA
Apple,iPhone11.8 back camera,NA
Apple,iPhone12.1 back camera,NA
Apple,iPhone12.3 back camera,NA
Apple,iPhone12.3 back telephoto camera,NA
Apple,iPhone12.5 back camera,NA
Apple,iPhone12.5 back telephoto camera,NA
Apple,iPhone12.8 back camera,NA
Apple,iPhone13.1 back camera,NA
Apple,iPhone13.1 back ultra wide camera,NA
Apple,iPhone13.2 back camera,NA
Apple,iPhone13.2 back ultra wide camera,NA
Apple,iPhone13.3 back camera,NA
Apple,iPhone13.3 back telephoto camera,NA
Apple,iPhone13.3 back ultra wide camera,NA
Apple,iPhone13.3 front camera,NA
Apple,iPhone13.4 back camera,NA
Apple,iPhone13.4 back telephoto camera,NA
Apple,iPhone13.4 back ultra wide camera,NA
Apple,iPhone13.4 front camera,NA
Apple,iPhone14.2 back camera,NA
Apple,iPhone14.2 back telephoto camera,NA
Apple,iPhone14.2 back ultra wide camera,NA
Apple,iPhone14.2 front camera,NA
Apple,iPhone14.3 back camera,NA
Apple,iPhone14.3 back telephoto camera,NA
Apple,iPhone14.3 back ultra wide camera,NA
Apple,iPhone14.3 front camera,NA
Apple,iPhone14.4 back camera,NA
Apple,iPhone14.4 back ultra wide camera,NA
Apple,iPhone14.4 front camera,NA
Apple,iPhone14.5 back camera,NA
Apple,iPhone14.5 back ultra wide camera,NA
Apple,iPhone14.5 front camera,NA
Apple,iPhone14.6 back camera,NA
Apple,iPhone14.6 front camera,NA
Apple,iPhone14.7 back camera,NA
Apple,iPhone14.7 back ultra wide camera,NA
Apple,iPhone14.7 front camera,NA
Apple,iPhone14.8 back camera,NA
Apple,iPhone14.8 back ultra wide camera,NA
Apple,iPhone14.8 front camera,NA
Apple,iPhone15.2 back camera,NA
Apple,iPhone15.2 back telephoto camera,NA
Apple,iPhone15.2 back ultra wide camera,NA
Apple,iPhone15.2 front camera,NA
Apple,iPhone15.3 back camera,NA
Apple,iPhone15.3 back telephoto camera,NA
Apple,iPhone15.3 back ultra wide camera,NA
Apple,iPhone15.3 front camera,NA
Apple,iPhone8.1 back camera,NA
Apple,iPhone8.2 back camera,NA
Apple,iPhone8.4 back camera,NA
Apple,iPhone9.1 back camera,NA
Apple,iPhone9.2 back camera,NA
Apple,iPhone9.2 back telephoto camera,NA
Apple,iPhone9.3 back camera,NA
Apple,iPhone9.4 back camera,NA
Apple,iPhone9.4 back telephoto camera,NA
